City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
131,Bluff,-46.6,168.3333,55.31,88,52,9.57,NZ,1672247012
132,Upernavik,72.7868,-56.1549,6.21,76,100,5.66,GL,1672247013
133,Avarua,-21.2078,-159.775,78.21,81,91,14.5,CK,1672247011
134,Esperance,-33.8667,121.9,57.15,74,0,8.59,AU,1672247014
135,Paamiut,61.994,-49.6678,15.66,64,34,10.42,GL,1672247015
136,Isangel,-19.55,169.2667,76.91,91,100,13.13,VU,1672247016
137,Makkah al Mukarramah,21.4267,39.8261,74.95,28,0,3.8,SA,1672246999
138,Butaritari,3.0707,172.7902,81.21,76,70,16.87,KI,1672247017
139,Westerland,54.9079,8.3033,46.02,100,100,19.57,DE,1672246805
140,Ust'-Charyshskaya Pristan',52.3934,83.6635,9.55,89,79,4.85,RU,1672247018
141,Guozhen,34.3659,107.359,29.7,51,9,2.04,CN,1672247019
142,Turochak,52.2576,87.1224,-3.28,99,52,1.19,RU,1672247019
143,Lorengau,-2.0226,147.2712,79.12,84,100,11.9,PG,1672247020
144,Quisqueya,18.5554,-69.4081,85.89,59,2,6.55,DO,1672247020
145,Laas,46.6166,10.7002,34.02,84,96,1.97,IT,1672247020
146,Itamaraju,-17.0392,-39.5311,83.8,66,91,5.41,BR,1672247021
147,Bambous Virieux,-20.3428,57.7575,77.25,73,40,5.75,MU,1672247021
148,Leh,34.1667,77.5833,13.89,41,46,1.57,IN,1672247022
149,Khovd,48.0056,91.6419,-5.89,86,13,2.37,MN,1672247022
150,Strezhevoy,60.7333,77.5889,-9.2,98,17,6.04,RU,1672247023
151,Bengkulu,-3.8004,102.2655,74.46,89,100,4.43,ID,1672247023
152,Grand-Santi,4.25,-54.3833,79.7,92,93,3.47,GF,1672247024
153,Caravelas,-17.7125,-39.2481,81.84,66,100,7.07,BR,1672247024
154,Nikolskoye,59.7035,30.7861,31.89,97,66,4.59,RU,1672247025
155,Karratha,-20.7377,116.8463,84.6,63,84,13.6,AU,1672247025
156,Katsuura,35.1333,140.3,53.87,58,35,21.85,JP,1672247026
157,Oranjemund,-28.55,16.4333,66.42,82,6,17.98,NA,1672246957
158,Mackay,-21.15,149.2,70.68,75,48,9.62,AU,1672247027
159,Nchelenge,-9.3451,28.734,71.58,80,81,3.02,ZM,1672247028
160,Bara,10.3744,10.7288,77.54,21,9,8.57,NG,1672247029
161,Meadow Lake,34.8014,-106.5436,44.47,83,100,4.99,US,1672247029
162,Torbay,47.6666,-52.7314,29.57,63,14,8.99,CA,1672247030
163,Tuktoyaktuk,69.4541,-133.0374,-21.62,99,43,5.84,CA,1672247031
164,Mocuba,-16.8392,36.9856,73.63,87,59,4.27,MZ,1672247031
165,Oodweyne,9.4092,45.064,69.08,57,43,12.8,SO,1672247031
166,Bethel,41.3712,-73.414,42.89,48,0,14.97,US,1672247018
167,Miyako,39.6367,141.9525,37.29,82,16,7.4,JP,1672247032
168,Dikson,73.5069,80.5464,-22.2,98,13,3.0,RU,1672247033
169,Yar-Sale,66.8333,70.8333,-24.2,100,12,4.5,RU,1672247034
170,Kendari,-3.945,122.4989,75.94,89,100,3.18,ID,1672247035
171,George Town,5.4112,100.3354,81.23,82,20,5.01,MY,1672246774
